Index,Station_ID,Station_Name_Caps,Station_Codes,Latitude,Longitude,Train_Type,Station_Name,Full_Station_Name
0,1,EUNOS MRT STATION,EW7,1.319778951553637,103.9032524667383,MRT,Eunos,Eunos MRT Station
1,2,CHINESE GARDEN MRT STATION,EW25,1.342352820874744,103.7325967380734,MRT,Chinese Garden,Chinese Garden MRT Station
2,3,KHATIB MRT STATION,NS14,1.417383370153547,103.8329799077383,MRT,Khatib,Khatib MRT Station
3,4,KRANJI MRT STATION,NS7,1.425177698770448,103.7621654109002,MRT,Kranji,Kranji MRT Station
4,5,REDHILL MRT STATION,EW18,1.289562726402453,103.8168166701490,MRT,Redhill,Redhill MRT Station
5,6,YEW TEE MRT STATION,NS5,1.397535017793412,103.7474051141379,MRT,Yew Tee,Yew Tee MRT Station
6,7,PIONEER MRT STATION,EW28,1.337586882204749,103.6973215129361,MRT,Pioneer,Pioneer MRT Station
7,8,COMMONWEALTH MRT STATION,EW20,1.302438735327170,103.7983045156290,MRT,Commonwealth,Commonwealth MRT Station
8,9,PAYA LEBAR MRT STATION,EW8/CC9,1.318112082295278,103.8930603552516,MRT,Paya Lebar,Paya Lebar MRT Station
9,10,SIMEI MRT STATION,EW3,1.343202894930727,103.9533716941757,MRT,Simei,Simei MRT Station
10,11,TAMPINES MRT STATION,EW2/DT32,1.353301356342435,103.9451486886490,MRT,Tampines,Tampines MRT Station
11,12,ADMIRALTY MRT STATION,NS10,1.440585001085411,103.8009880008123,MRT,Admiralty,Admiralty MRT Station
12,13,YISHUN MRT STATION,NS13,1.429443080810801,103.8350050461946,MRT,Yishun,Yishun MRT Station
13,14,PASIR RIS MRT STATION,EW1,1.372983773579490,103.9492681182454,MRT,Pasir Ris,Pasir Ris MRT Station
14,15,CLEMENTI MRT STATION,EW23,1.314954492423595,103.7652988743264,MRT,Clementi,Clementi MRT Station
15,16,ALJUNIED MRT STATION,EW9,1.316432611657838,103.8829060446604,MRT,Aljunied,Aljunied MRT Station
16,17,ANG MO KIO MRT STATION,NS16,1.369347303788564,103.8499329938898,MRT,Ang Mo Kio,Ang Mo Kio MRT Station
17,18,EXPO MRT STATION,CG1/DT35,1.334549777837812,103.9615482107079,MRT,Expo,Expo MRT Station
18,19,CHOA CHU KANG MRT STATION,NS4,1.384836359965826,103.7445537312411,MRT,Choa Chu Kang,Choa Chu Kang MRT Station
19,20,JURONG EAST MRT STATION,EW24/NS1,1.333152619894065,103.7422865440047,MRT,Jurong East,Jurong East MRT Station
20,21,QUEENSTOWN MRT STATION,EW19,1.294860932794988,103.8058843338920,MRT,Queenstown,Queenstown MRT Station
21,22,TUAS LINK MRT STATION,EW33,1.340463765648207,103.6368786783488,MRT,Tuas Link,Tuas Link MRT Station
22,23,GUL CIRCLE MRT STATION,EW30,1.319505214938206,103.6605529559080,MRT,Gul Circle,Gul Circle MRT Station
23,24,WOODLANDS MRT STATION,NS9/TE2,1.436875128210755,103.7864851349074,MRT,Woodlands,Woodlands MRT Station
24,25,TUAS CRESCENT MRT STATION,EW31,1.321026553242265,103.6490754783089,MRT,Tuas Crescent,Tuas Crescent MRT Station
25,26,KALLANG MRT STATION,EW10,1.311488909642162,103.8713865413593,MRT,Kallang,Kallang MRT Station
26,27,TUAS WEST ROAD MRT STATION,EW32,1.329989089049135,103.6396140560304,MRT,Tuas West Road,Tuas West Road MRT Station
27,28,BUONA VISTA MRT STATION,EW21/CC22,1.307183466547333,103.7901915351737,MRT,Buona Vista,Buona Vista MRT Station
28,29,DOVER MRT STATION,EW22,1.311405292925308,103.7786378416379,MRT,Dover,Dover MRT Station
29,30,SEMBAWANG MRT STATION,NS11,1.449050821227294,103.8200461405483,MRT,Sembawang,Sembawang MRT Station
30,31,KEMBANGAN MRT STATION,EW6,1.321038248851085,103.9129493883634,MRT,Kembangan,Kembangan MRT Station
31,32,BUKIT BATOK MRT STATION,NS2,1.349034108576673,103.7495667638523,MRT,Bukit Batok,Bukit Batok MRT Station
32,34,BOON LAY MRT STATION,EW27,1.338604054503274,103.7060646225960,MRT,Boon Lay,Boon Lay MRT Station
33,35,BUKIT GOMBAK MRT STATION,NS3,1.358761857261445,103.7518935020820,MRT,Bukit Gombak,Bukit Gombak MRT Station
34,36,MARSILING MRT STATION,NS8,1.432514420635642,103.7740714612621,MRT,Marsiling,Marsiling MRT Station
35,37,BEDOK MRT STATION,EW5,1.323979968887747,103.9299844946206,MRT,Bedok,Bedok MRT Station
36,38,JOO KOON MRT STATION,EW29,1.327717173091680,103.6783751428505,MRT,Joo Kuun,Joo Kuun MRT Station
